package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,0.11920661479234695
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,-0.0
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.39130881428718567
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.7015023231506348
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.3507516086101532
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,test,2,2,474,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s1,11,test,2,2,474,0.5105624198913574
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,test,2,2,661,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s2,11,test,2,2,661,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s3,8,test,2,2,498,0.3507511615753174
ca.rmen.nounours,0e7da7b17b63_llm_s3,9,test,2,2,498,0.7015023231506348
ca.rmen.nounours,0e7da7b17b63_llm_s3,10,test,2,2,498,0.42987358570098877
ca.rmen.nounours,0e7da7b17b63_llm_s3,11,test,2,2,498,0.5290206670761108
ca.rmen.nounours,0e7da7b17b63_llm_s3,12,test,2,2,498,0.3546045422554016
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.7015023231506348
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.7015023231506348
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.7015023231506348
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.7015023231506348
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.7015023231506348
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.7015023231506348
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.7015023231506348
