package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,-0.0
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,-0.0
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.0006120289326645434
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.6983752846717834
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.3491876721382141
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.3491876423358917
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.6983752846717834
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.3491876423358917
